gene,meanTumor,meanControl,log2FC,pvalue
COQ10A,2.5736565075556808,2.3947155849833064,0.17894092257237437,0.12974741468733228
ECE1,4.855454067381341,2.189665166152874,2.6657889012284675,1.5257040998037895e-10
RAD52,4.089953932088771,3.955343607432723,0.13461032465604816,0.021100738590954588
RNASE2B,0.0,0.0,0.0,1.0
AI987944,4.066439668969314,4.052875598165,0.01356407080431321,0.8605370475592793
OLFR1444,0.14138975799208578,0.37247075312799427,-0.2310809951359085,0.00803378992914895
WDR25,2.125231516030793,1.874597327544442,0.250634188486351,0.0003091613966754366
RAG1,1.7668004844908134,2.5404721792581806,-0.7736716947673672,0.004400550146911678
PRKCZ,0.0040585785030589835,0.033272715034028455,-0.02921413653096947,0.027509255388261062
OLFR1426,0.0,0.0,0.0,1.0
4930426D05RIK,0.7124078732447932,1.9572485356679323,-1.2448406624231392,1.14999198912228e-05
SUV39H1,6.081302302154115,6.423391834768715,-0.34208953261460007,0.11688930800569965
ZFP827,0.0015337837431435915,3.251227149552059,-3.2496933658089153,3.5387990965074707e-12
MGAT1,5.978708306834958,5.684818925801789,0.29388938103316864,0.030922847577207827
AHCY,6.83447557713168,7.319149098066129,-0.48467352093444926,0.042758743341928654
KLHL11,3.907826552852773,3.9505456772359913,-0.04271912438321834,0.6537680993568812
OLFR43,0.0,0.0,0.0,1.0
FAM166A,0.2839907625669857,0.19854444609353655,0.08544631647344914,0.28038468644238534
GM2087,0.0,0.0,0.0,1.0
RABGAP1,4.4886741917255994,4.2405260384575145,0.24814815326808493,0.013603594695200222
RALB,5.067455372741286,4.650403429588417,0.41705194315286853,0.00012989196331406893
GM29685,0.0,0.0,0.0,1.0
FRAT2,4.258330438401468,3.179833123755813,1.078497314645655,6.855084889980363e-10
MUP5,0.0,0.0,0.0,1.0
RTN4R,2.4109398130848603,0.05680386537731295,2.3541359477075474,3.4909424215645825e-07
REEP1,0.002470094524377749,0.20580563648674302,-0.20333554196236528,0.0006908836892292561
4930546C10RIK,0.0,0.0,0.0,1.0
ARHGEF11,3.19483795865659,2.706306184210739,0.4885317744458506,0.001686873790833315
ARHGAP20OS,0.0,0.0,0.0,1.0
GM10825,0.004277854042922714,0.02846225233352744,-0.024184398290604724,0.09819529564318938
CBFA2T3,4.019096070983376,3.5377644140663436,0.4813316569170323,0.0010438524700308437
CES3A,0.0,0.0,0.0,1.0
